Dropout Rates,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
"(0.2, 0.2, 0.5)",0.99052228271829,0.997631873331959,0.9974298260729015,0.9904318743638214,0.981250535087469,0.9999709175512578,0.034941449761390686,0.03512627258896828
"(0.2, 0.3, 0.0)",0.9906507051586787,0.9975884501107972,0.9973781456560269,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03473912924528122,0.03665665164589882
"(0.2, 0.3, 0.1)",0.9905782695133546,0.997597686547659,0.9958835598473794,0.9904900392613059,0.9814724942190757,0.9998545877562891,0.03464573249220848,0.03559985011816025
"(0.2, 0.3, 0.2)",0.9905645428484997,0.9975740294113338,0.9958884791177139,0.9904754980369347,0.981389507335731,0.9999127526537734,0.03462458401918411,0.035701215267181396
"(0.2, 0.3, 0.3)",0.99063589477627,0.9976603924853441,0.9974608101030455,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.035002775490283966,0.035238392651081085
"(0.2, 0.3, 0.4)",0.9905080156135221,0.9976644510030199,0.997466006634207,0.9904173331394504,0.9812225329604475,0.9999709175512578,0.0351988784968853,0.0365271121263504
"(0.2, 0.3, 0.5)",0.9905928113520133,0.9976231803144174,0.997421123317784,0.9905045804856769,0.9814730231230374,0.9998836702050312,0.03506132960319519,0.03560476005077362
"(0.2, 0.4, 0.0)",0.9905637272557014,0.9976353639024391,0.9974335867984117,0.9904754980369347,0.9814719652849149,0.9998255053075469,0.03492603451013565,0.035848747938871384
"(0.2, 0.4, 0.1)",0.9906213533487964,0.9976232162604424,0.9958440363215976,0.990533662934419,0.9815290624643143,0.9998836702050312,0.03457462042570114,0.035176921635866165
"(0.2, 0.4, 0.2)",0.9906367041198503,0.9976294387288268,0.9961512679986488,0.9905482041587902,0.9814471243042672,1.0,0.035195328295230865,0.03527829796075821
"(0.2, 0.4, 0.3)",0.9906218937724188,0.9976063622265298,0.9959609670842936,0.990533662934419,0.9814740808403745,0.9999418351025157,0.034697726368904114,0.03513336926698685
"(0.2, 0.4, 0.4)",0.9906504357847727,0.997615214675265,0.9959865382208368,0.9905627453831612,0.981530117042535,0.9999418351025157,0.03460163250565529,0.036145783960819244
"(0.2, 0.4, 0.5)",0.990535732292312,0.9974606894798608,0.9972337733666221,0.9904464155881926,0.9813609636353257,0.9998836702050312,0.03528784587979317,0.0352800078690052
"(0.2, 0.5, 0.0)",0.9906210831136275,0.9976422270558584,0.9968936997240905,0.990533662934419,0.9815565579854965,0.9998545877562891,0.03462626039981842,0.03755740448832512
"(0.2, 0.5, 0.1)",0.9905505459364466,0.9975740234908118,0.996273013732859,0.9904609568125636,0.9813340183234865,0.9999418351025157,0.03456553816795349,0.034899383783340454
"(0.2, 0.5, 0.2)",0.9906504357847727,0.9976037711524649,0.9957414604581664,0.9905627453831612,0.981530117042535,0.9999418351025157,0.03488791361451149,0.03583288565278053
"(0.2, 0.5, 0.3)",0.990635624963983,0.9975860899370816,0.9957722931912465,0.9905482041587902,0.9815570845347874,0.9998836702050312,0.035089801996946335,0.036293212324380875
"(0.2, 0.5, 0.4)",0.9905933534046875,0.9975922764594409,0.9957914566689363,0.9905045804856769,0.9814180510361363,0.9999418351025157,0.03447139263153076,0.03559323400259018
"(0.2, 0.5, 0.5)",0.9905497291690677,0.9975736559955676,0.9958604654801921,0.9904609568125636,0.9814164597071166,0.9998545877562891,0.03482900187373161,0.03516317903995514
"(0.3, 0.0, 0.0)",0.9906076233829842,0.9976517544440759,0.9974525529549675,0.990519121710048,0.9814460651385836,0.9999418351025157,0.03460073471069336,0.03477181866765022
"(0.3, 0.0, 0.1)",0.9906652453254199,0.9975577090701696,0.9973391320811252,0.9905772866075323,0.9815031541689264,1.0,0.03422966226935387,0.03609256073832512
"(0.3, 0.0, 0.2)",0.9906218937724188,0.99766662087425,0.9964925596277124,0.990533662934419,0.9814740808403745,0.9999418351025157,0.0350760817527771,0.03504046052694321
"(0.3, 0.0, 0.3)",0.990636434354202,0.9976140944279664,0.9961281544259318,0.9905482041587902,0.981474609653755,0.9999709175512578,0.03478975221514702,0.03480788320302963
"(0.3, 0.0, 0.4)",0.9906361645730092,0.9976481010592468,0.9974489467996471,0.9905482041587902,0.981502098141646,0.9999418351025157,0.03458401933312416,0.035270631313323975
"(0.3, 0.0, 0.5)",0.990636434354202,0.9976467993902454,0.9974458339648788,0.9905482041587902,0.981474609653755,0.9999709175512578,0.03493783250451088,0.03481746464967728
"(0.3, 0.1, 0.0)",0.9905782695133546,0.9976376153922909,0.9963613124621763,0.9904900392613059,0.9814724942190757,0.9998545877562891,0.03469468653202057,0.03492092713713646
"(0.3, 0.1, 0.1)",0.9905930823861591,0.9976015809823029,0.9959088802330437,0.9905045804856769,0.9814455355103905,0.9999127526537734,0.03548780456185341,0.03637080267071724
"(0.3, 0.1, 0.2)",0.9906361645730092,0.9975433010575384,0.996667030040149,0.9905482041587902,0.981502098141646,0.9999418351025157,0.03455573320388794,0.035285841673612595
"(0.3, 0.1, 0.3)",0.9905645428484997,0.9976040045901805,0.9961395432162782,0.9904754980369347,0.981389507335731,0.9999127526537734,0.035196453332901,0.03494808450341225
"(0.3, 0.1, 0.4)",0.9906218937724188,0.9975709765365703,0.9973228869749056,0.990533662934419,0.9814740808403745,0.9999418351025157,0.03576225787401199,0.03551403805613518
"(0.3, 0.1, 0.5)",0.9905936244075999,0.9976186418115832,0.9959924542820504,0.9905045804856769,0.9813905696997374,0.9999709175512578,0.03444322571158409,0.03528826683759689
"(0.3, 0.2, 0.0)",0.9906507051586787,0.99761711473986,0.9959410140133214,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.034623220562934875,0.035094764083623886
"(0.3, 0.2, 0.1)",0.99063589477627,0.997583451075948,0.9958415400210894,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.034439507871866226,0.0348135270178318
"(0.3, 0.2, 0.2)",0.9905500014405486,0.9976522378123892,0.9966415615426503,0.9904609568125636,0.9813889761082408,0.9998836702050312,0.03564539924263954,0.03489083796739578
"(0.3, 0.2, 0.3)",0.9906361645730092,0.9975949732571088,0.9956537666536344,0.9905482041587902,0.981502098141646,0.9999418351025157,0.03529863432049751,0.03553679585456848
"(0.3, 0.2, 0.4)",0.9906076233829842,0.9975892087833732,0.9973742512085757,0.990519121710048,0.9814460651385836,0.9999418351025157,0.03537413850426674,0.03503935784101486
"(0.3, 0.2, 0.5)",0.9906218937724188,0.997566753512968,0.9963053144662715,0.990533662934419,0.9814740808403745,0.9999418351025157,0.03484798222780228,0.035400114953517914
"(0.3, 0.3, 0.0)",0.9906076233829842,0.9976129788325064,0.9961321298017449,0.990519121710048,0.9814460651385836,0.9999418351025157,0.03459380939602852,0.03576953709125519
"(0.3, 0.3, 0.1)",0.9905214635551713,0.9975788821247163,0.9956281859359077,0.9904318743638214,0.9813329527615242,0.9998836702050312,0.0347461961209774,0.03541865944862366
"(0.3, 0.3, 0.2)",0.9905793552476161,0.9976067948475137,0.9962195415583476,0.9904900392613059,0.9813625595798727,0.9999709175512578,0.035123247653245926,0.03515249863266945
"(0.3, 0.3, 0.3)",0.9902929400581848,0.9976201147528216,0.9967311997036734,0.990199214773884,0.9809124368740906,0.9998545877562891,0.03576742485165596,0.03552721068263054
"(0.3, 0.3, 0.4)",0.9906504357847727,0.9976236911708676,0.9974139088841083,0.9905627453831612,0.981530117042535,0.9999418351025157,0.035170283168554306,0.0364728644490242
"(0.3, 0.3, 0.5)",0.9903072026269929,0.9975224033072542,0.9959507451956313,0.990213755998255,0.9809404245606026,0.9998545877562891,0.03569373860955238,0.03584466129541397
"(0.3, 0.4, 0.0)",0.9906221639608753,0.9976078389738179,0.9960108152405024,0.990533662934419,0.9814465947365416,0.9999709175512578,0.034450825303792953,0.035382840782403946
"(0.3, 0.4, 0.1)",0.9905933534046875,0.9976189818186909,0.9960785000612848,0.9905045804856769,0.9814180510361363,0.9999418351025157,0.034901801496744156,0.03504272177815437
"(0.3, 0.4, 0.2)",0.9906361645730092,0.9975896384440963,0.9957688844287556,0.9905482041587902,0.981502098141646,0.9999418351025157,0.03442993015050888,0.03619692102074623
"(0.3, 0.4, 0.3)",0.9906076233829842,0.9975995603928005,0.9957190287198819,0.990519121710048,0.9814460651385836,0.9999418351025157,0.03474821522831917,0.035038143396377563
"(0.3, 0.4, 0.4)",0.9904934750669778,0.9976138330792197,0.9957924685202753,0.9904027919150793,0.9812219970891242,0.9999418351025157,0.035173553973436356,0.035317033529281616
"(0.3, 0.4, 0.5)",0.9903217443903561,0.9976278270782212,0.9970962758690856,0.9902282972226262,0.9809409683585837,0.9998836702050312,0.03532828390598297,0.03557107225060463
"(0.3, 0.5, 0.0)",0.9903365640796693,0.9975774134124218,0.9955927026242614,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.03584136441349983,0.03513474017381668
"(0.3, 0.5, 0.1)",0.9903362857348599,0.9976450849762976,0.997406970205847,0.9902428384469972,0.9809415121255349,0.9999127526537734,0.035338688641786575,0.03624914959073067
"(0.3, 0.5, 0.2)",0.990636434354202,0.997590921928638,0.9957332922663034,0.9905482041587902,0.981474609653755,0.9999709175512578,0.0357147641479969,0.03557223826646805
"(0.3, 0.5, 0.3)",0.9903217443903561,0.9976308262453939,0.9973106000824847,0.9902282972226262,0.9809409683585837,0.9998836702050312,0.035771071910858154,0.03578660264611244
"(0.3, 0.5, 0.4)",0.9903217443903561,0.9975825426987502,0.9960030930630751,0.9902282972226262,0.9809409683585837,0.9998836702050312,0.03554605320096016,0.036656223237514496
"(0.3, 0.5, 0.5)",0.990322023158016,0.9975658227223663,0.997348779056437,0.9902282972226262,0.9809135260049642,0.9999127526537734,0.03564758971333504,0.0360153429210186
"(0.4, 0.0, 0.0)",0.9906076233829842,0.997577989817506,0.9954063196738647,0.990519121710048,0.9814460651385836,0.9999418351025157,0.034550704061985016,0.03549490496516228
"(0.4, 0.0, 0.1)",0.9906361645730092,0.9976165290310988,0.9961858490792966,0.9905482041587902,0.981502098141646,0.9999418351025157,0.03491368889808655,0.035001352429389954
"(0.4, 0.0, 0.2)",0.9902781178436144,0.9976102452430247,0.9974011598357017,0.9901846735495129,0.9809393368715402,0.9997964228588047,0.035457272082567215,0.035850752145051956
"(0.4, 0.0, 0.3)",0.9902789579042873,0.9976250139845897,0.997421101644898,0.9901846735495129,0.9808570124386625,0.9998836702050312,0.03548600897192955,0.03607666492462158
"(0.4, 0.0, 0.4)",0.9903074818175271,0.9976439004490484,0.9974424576677383,0.990213755998255,0.9809129814550642,0.9998836702050312,0.036270543932914734,0.036408472806215286
"(0.4, 0.0, 0.5)",0.9903223019096173,0.997585192132244,0.9955917415898252,0.9902282972226262,0.9808860867828717,0.9999418351025157,0.03558288887143135,0.035955142229795456
"(0.4, 0.1, 0.0)",0.9903511045825052,0.997592513280312,0.9958129046322128,0.9902573796713683,0.980914615011554,0.9999709175512578,0.03501478210091591,0.03551986441016197
"(0.4, 0.1, 0.1)",0.9905645428484997,0.9976362304130902,0.9967338365078108,0.9904754980369347,0.981389507335731,0.9999127526537734,0.035606157034635544,0.03563262149691582
"(0.4, 0.1, 0.2)",0.9906218937724188,0.9975824674235447,0.9956537898415184,0.990533662934419,0.9814740808403745,0.9999418351025157,0.03468032553792,0.035041727125644684
"(0.4, 0.1, 0.3)",0.9906932518872817,0.9976056005936931,0.9958728542877087,0.9906063690562745,0.9816141833442773,0.9999418351025157,0.03539985790848732,0.035707175731658936
"(0.4, 0.1, 0.4)",0.9903217443903561,0.9975713550270696,0.9956677960782849,0.9902282972226262,0.9809409683585837,0.9998836702050312,0.03550630062818527,0.03562802076339722
"(0.4, 0.1, 0.5)",0.9902929400581848,0.9976321811990914,0.9963603348564409,0.990199214773884,0.9809124368740906,0.9998545877562891,0.03576502203941345,0.035437650978565216
